Y	X	Z
1651.79	-358.75	2064
263	-1474	2101.71
1627.76	-403.48	2174
1610.52	-366.82	2078
278	742	2109.71
1626.37	-288.06	2154
1674.72	-266.18	2076.53
1608.45	-464.47	2088
1560.89	-719.87	2208
1540.27	-703.64	2172
1536.17	-699.35	2102.7
1541.78	-775.26	2212
1498	-683.62	2164
1470	-794	2102.7
1543.78	-647.47	2170
1509.38	-795.57	2097.7
1533.66	-639.62	2224
1564.59	-624.87	2192
1504.69	-651.16	2170
1531.47	-641.11	2150
1524	-818	2094.7
1491.64	-710.18	2045.7
1527.05	-615.66	2080
1525.91	-626.84	2194
1543.93	-617.88	2196
1496.65	-721.63	2092.7
1516.94	-855.53	2064.7
1482.94	-893.53	2083.7
1540.28	-594.37	2188
1571.25	-584.04	2216
1531.26	-767.47	2161.81
1497.31	-520.26	2136
1568.69	-529.09	2158
1545	-922	2046.81
1562.36	-735.07	2132
1511.99	-717.38	2096.7
1542.4	-692.22	2190
1705.93	1438.12	2143.81
1488.62	-707.96	2180
1520.17	-701.35	2061.7
1237.24	474.07	2122.81
1727.01	-905.33	2132.81
1578.38	-402.6	2100.81
1573.51	-687.37	2140
1527.9	-707.2	2222
1478.32	-710.84	2170
1496.49	-740.12	2208
1371.88	1459.78	2146.81
1523.85	-765.4	2036.7
1583.64	-911.07	2171.81
1505	-880	2119.81
1657.23	-77.91	2225.81
1522.34	-704.43	2382
1525.91	-690.63	2220
1538.66	-716.64	2162
1499.91	-782.8	2127.7
1631.19	-378.06	2090.12
1574.87	-381.71	2084
1559.37	-356.92	2101.12
1605.02	-376.15	2085.12
1584.93	-461.1	2121.12
1571.33	-432.7	2089.12
1602.68	-413.54	2192
1570.52	-394.25	2118
1637.83	-493.15	2055.25
1569.81	-439.02	2104.12
1651.63	-457.52	2096.75
1548.51	-364.85	2106
1595.53	-366.63	2066
1595.34	-448.96	2136
1622	-290	2120.12
1588.79	-337.5	2082
1564.2	-494.47	2123.12
1599.04	-505.62	2096.12
1584.16	-507.7	2098.12
1578	-316	2091.12
1617.01	-319.04	2117.25
1606.98	-278.24	2174
1616.14	-254.98	2108.12
1596	-324	2109.12
1602.72	-494.74	2110.12
1563.79	-281.6	2098
1604	-310	2119.12
1580.72	-494.74	2117.12
1614	-430	2087.12
1536.18	-285.74	1992
1531.14	-495.98	2010
1572.99	-304.66	2048
1614	-410	2092.12
1620	-380	2123.12
1554.93	-211.32	2092
1616	-220	2114.12
1779.29	-366.83	2058.75
1617.84	-249.25	2018
1628	-406	2088.12
1589.32	-530.16	2022
1581.68	-350.66	2078
1523.21	-398.26	2082
1589.42	-378.43	2150
1536.54	-384.89	2062
1612	-294	2101.12
1584.06	-311.69	2096
1600	-306	2121.12
1587	-274	2135.75
1539.12	-283.63	2116
1616	-292	2106.12
1596	-402	2112.12
1560.09	-280.55	2110
1622	-278	2106.12
1838.22	537.18	2104.25
1624	-328	2113.12
1574	-380	2105.12
1608.68	-213.78	2083.12
1610.68	-251.78	2088.12
1592	-398	2102.12
1574	-292	2101.12
1611.6	-488.66	2114.12
1582	-224	2114.12
1313.52	-766.95	2131.25
1592	-180	2104.12
1443.95	-727.12	2086
1471.89	-672.81	2102
1461.56	-701.02	2104
1468.75	-699.04	2080
1466.21	-710.31	2122
1551	-218	2081.53
1470.96	-709.65	2076
1437.47	-749.92	2086
1442.68	-751.75	2004
1445.16	-649.38	2102
1509.8	-632.13	2069.79
1469.8	-614.13	2097.79
1422.2	-732.75	2124
1455.22	-671.55	2164
1505.71	-587.71	2097.79
1471.36	-658.13	2072
1489.71	-613.71	2061.79
1465.71	-567.71	2106.79
1434.03	-792.63	2118
1454.2	-643.19	2122
1464.39	-652.91	2072
1454.27	-616.61	2090
1392	-222	2093.53
1460.19	-583.78	2032
1502.69	-580.21	2082
1485.94	-783.08	2074
1503.36	-525.28	2090.79
1451.14	-572.64	2042
1477.96	-587.79	2076
1485.99	-569.12	2176
1495.36	-553.28	2087.79
1503.36	-511.28	2090.79
1576	-488	2047.53
1438.7	-813.57	2086
1492	-478	2088.79
1449.09	-884.18	2094
1486	-524	2079.79
1431.3	-519.26	2074
1504.64	-595.68	2100.79
1484.49	-572.42	2096
1460.35	-521.81	2148
1468.39	-509.65	2116
1470	-486	2056.79
1433.26	-477.08	2137.53
1472.76	-597.75	2091.79
1414.45	-481.17	2109.03
1516.93	-583.68	2054.53
1473.19	-570.96	2056.79
1526	-482	2074.79
1524.64	-599.68	2095.79
1342.63	-510.83	2071.53
1470	-490	2080.79
1480.21	-588.47	2064.79
1368.14	-539.55	2084.03
1353.58	-592.21	2110.53
1522	-478	2093.79
1503	-658	2105.03
1478	-488	2087.79
1466.74	-624.72	2100.79
1468.21	-618.47	2076.79
1388.31	-622.44	2097.53
1478	-504	2075.79
1446	-588	2080.53
1550.64	-627.13	2127.53
1526	-506	2082.79
1470	-530	2091.79
1391.9	-586.86	2145.53
1526.94	-392.94	2080
1525.95	-332.55	2094
1503.16	-398.78	2087.91
1498.73	-416.11	2103.91
1523.88	-348.26	2124
1624	-448	2066.94
1501.98	-411.38	2116
1513.03	-373.17	2174
1536.22	-393.61	2116
1546.1	-322.91	2014
1526.33	-414.35	2122
1516.57	-317.21	2120
1521.91	-320.65	2114
1533.11	-273.01	2114
1494.24	-309.51	2126
1511.25	-274.71	2076
1520	-170	2105.94
1514.3	-452.32	2126
1531.72	-274.75	2126
1576.52	-309.08	2016
1509.43	-494.1	2091.91
1547.41	-299.33	2106
1523.32	-276.4	2100
1257	-134	2149.94
1545.96	-256.42	2124
1483.58	-448.17	2114
1504.7	-465.35	2002
1492	-522	2101.91
1497.93	-228.33	2134
1525.03	-265.31	2078
1513.21	-234.87	2124
1561.13	-218.6	2084
1531.17	-231.34	2148
1516.05	-220.7	2108
1458.73	-535.91	2080
1520.26	-234.2	2092
1408	-312	2107.94
1667	-428	2100.94
1549.52	-190.8	2088
1568.45	-209.3	2102
1551.71	-213	2066
1529.22	-552.6	2116
1592	-480	2064.44
1499.62	-536.6	2094
1502	-502	2145.91
1482	-398	2140.91
1413.75	-721.12	2118.22
1388.25	-700.78	2161.22
1398.44	-743.19	2114.22
1384	-720	2109.22
1422.7	-638.41	2116.22
1395.55	-735.97	2099.22
1354.35	-624.94	2126.22
1366.7	-624.41	2125.22
1426	-688	2130.22
1429.55	-757.97	2120.22
1369.28	-622.82	2098.22
1388.12	-801.02	2119.22
1428.66	-803.71	2103.22
1374	-730	2106.22
1387.78	-623.9	2089.22
1388.66	-765.71	2107.22
1384.21	-764.42	2119.22
1372	-704	2142.22
1386	-788	2163.22
1375.69	-624.5	2109.22
1414.67	-573.25	2141.22
1407.74	-569.7	2152.48
1388	-602	2112.22
1410	-772	2128.22
1390	-816	2102.22
1400	-812	2146.22
1398	-592	2094.22
1384.3	-596.33	2110.22
1321.13	-703.79	2077.48
1378	-816	2117.22
1406.3	-594.33	2145.22
1416	-828	2144.22
1415.53	-567.15	2094.22
1382.39	-827.63	2125.22
1416.39	-815.63	2098.22
1424.77	-551.49	2131.22
1372.77	-535.49	2097.22
1401.17	-857.03	2128.22
1414	-818	2092.22
1469.34	-364.02	2164.28
1442.58	-349.87	2151.28
1395	-180	2160.19
1421.39	-333.82	2148.28
1498.77	-309.14	2110.28
1524	-248	2087.19
1495.56	-313.68	2122.28
1468.96	-272.19	2118.28
1494.24	-246.38	2144.28
1440.01	-478.72	2168.28
1589.8	-375.4	2116.19
1511	-154	2172.19
1474	-318	2147.28
1421	-280	2116.19
1372	-240	2171.69
1463.66	-458.8	2156.28
1524	-278	2111.28
1526	-328	2108.28
1430	-490	2198.69
1357	-380	2124.19
1430	-278	2138.69
1510	-280	2140.28
1409.18	-465.39	2167.28
1347	-488	2154.69
1411.01	-444.44	2154.28
1466	-460	2149.19
1447.17	-500.36	2127.28
1401	-224	2131.19
1496.7	-225.13	2127.28
1420.7	-481.98	2125.28
1388	-322	2122.69
1443	-172	2089.19
1431	-254	2162.19
1401.01	-449.41	2139.28
1470	-186	2119.19
1450.93	-223.15	2129.28
1452.03	-477.27	2149.28
1429.55	-502.89	2145.28
1482	-314	2159.28
1413	-244	2188.19
1488.66	-241.54	2153.28
1288	-186	2172.19
1522	-184	2111.28
1392.55	-163.56	2146.69
1516	-180	2166.28
1412.79	-183.39	2133.69
1244	-256	2169.69
1476	-390	2111.19
1244	-258	2191.69
1397	-196	2152.69
1502	-180	2143.28
1520	-276	2154.28
1510	-208	2119.28
1449	-266	2125.19
1252	-242	2182.19
1515.1	-163.32	2148.28
1500	-288	2099.28
1393.27	-529.17	2140.28
1402.4	-240.76	2192.19
1296	-208	2139.19
1253	-254	2153.19
1256	-280	2139.19
1499	-372	2164.69
1480	-216	2160.28
1502	-178	2134.28
1243	-254	2168.69
1240	-264	2181.19
1292	-186	2144.19
1291	-172	2175.19
1395	-188	2153.69
1277	-176	2150.19
1228	-330	2133.69
1368.32	-591.89	2124
1373.32	-613.74	2170
1342.6	-745.83	2136
1305.45	-663.64	2140
1347.26	-588.59	2170
1361.63	-586.64	2182
1292.06	-818.65	2204
1357.06	-662.58	2096
1343.52	-534.68	2160
1347.19	-525.78	2134
1374.42	-536.49	2168
1346.47	-603.26	2178
1316.6	-565.95	2136
1289.76	-611.95	2110
1331.23	-889.35	2124
1353.67	-666.83	2108
1297.87	-641.07	2156
1350.58	-574.73	2148
1343.5	-596.13	2172
1345.4	-568.47	2124
1328.76	-720.25	2168
1337.05	-692.5	2144
1307.5	-749.28	2154
1335.38	-547.54	2124
1328.9	-648.44	2094
1325.4	-683.98	2112
1296.96	-680.12	2110
1371.35	-645.1	2172
1342.22	-630.42	2156
1291.23	-847.62	2164.5
1306.1	-776.94	2124
1327.99	-600.25	2138
1374.82	-572.28	2168
1360.77	-679.64	2140
1357.94	-689.17	2164
1298.13	-755.42	2170
1319.18	-664.68	2116
1308.68	-714.59	2068
1351.79	-603.77	2192
1332.19	-564.55	2122
1301.1	-857.92	2140
1319.77	-637.51	2164
1346.78	-516.09	2158
1346.58	-691.5	2122
1333.87	-664.92	2128
1290.02	-860.64	2137.5
1326.93	-696.86	2142
1310.65	-532.8	2204
1320.37	-626.67	2166
1300.58	-686.89	2152
1278.05	-312	2129
1332.28	-176.59	2113.5
1268.92	-334.31	2164.5
1424.97	-217.58	2132
1395.99	-219.16	2129
1357.28	-215.86	2116.5
1290.08	-377.9	2152
1317.78	-276.73	2143.5
1399.94	-226.79	2101.5
1375.45	-217.02	2164
1266.38	-292.97	2179
1333.21	-213.91	2165
1344.39	-229.13	2125
1347.86	-181.78	2137.5
1386.23	-189.28	2115
1264.55	-296.13	2131
1244.9	-302.52	2146
1366.86	-359.05	2143.52
1409.79	-357.99	2182
1415.79	-356.3	2146
1405.18	-367.11	2170
1434.85	-135.06	2132.34
1413.3	-340.6	2152
1355.51	-322.84	2173.52
1404	-326	2174.52
1363.51	-324.84	2163.52
1389.51	-294.84	2132.52
1403.51	-280.84	2135.52
1385.03	-398.63	2169.52
1390	-380	2144.52
1419.86	-308.53	2100
1442.25	-319.64	2175.34
1377.31	-327.51	2138
1420	-410	2172.52
1316.19	-321.33	2197.34
1387.98	-159.59	2183.34
1361.84	-235.7	2150.34
1409.64	-301.38	2156
1341.38	-246.83	2159.84
1409.54	-251.55	2145.52
1411.54	-255.55	2166.52
1402.5	-371	2236
1324.8	-241.82	2184.34
1378.07	-420.08	2098
1410.46	-396.44	2184
1424.44	-331.7	2140
1426	-154	2174.34
1419.37	-300.5	2200
1282.68	-352.6	2135.34
1397	-228	2181.34
1422	-430	2126.52
1392.41	-322.55	2202
1391.21	-414.97	2168
